store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel
40,TWN_0205,DSFH_TWN_0205,Kaohsiung Dashu E-DA FH,2,22,Taiwan,APAC,Taiwan,Kaohsiung,FH,0205,127.9000,,,,,,,,2014-10-27 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,127.9000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
128,TWN_0408,DSBH_TWN_0408,Taipei Daan Daan SF,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0408,491.0000,,,,,,,,2016-03-24 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,491.0000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
50,TWN_0219,DSBH_TWN_0219,Kaohsiung Lingya Far Eastern DS,2,22,Taiwan,APAC,Taiwan,Kaohsiung,BH,0219,72.0000,,,,,,,,2014-12-25 00:00:00,Judith chen,Close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,72.0000,C,2023-05-22 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
426,TWN_1159,DSBH_TWN_1159,Taipei Ximending Cheng Du SF,2,22,Taiwan,APAC,Taiwan,Taipei,BH,1159,358.7100,,,,,,,,2018-04-04 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,358.7100,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
105,TWN_0361,DSBH_TWN_0361,Tainan West Central Mitsukoshi Ximen DS,2,22,Taiwan,APAC,Taiwan,Tainan,BH,0361,111.9000,,,,,,,,2015-10-23 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,111.9000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
1945,TWN_0632,DSBH_TWN_0632,New Taipei  Chungho Globalmall DS,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0632,91.8000,,,,,,,,2013-09-13 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,91.8000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
380,TWN_0966,DSFH_TWN_0966,New Taipei City Chungho Nan Shan Power Center FH,2,22,Taiwan,APAC,Taiwan,Taipei,FH,0966,638.3000,,,,,,,,2017-12-28 00:00:00,Judith chen,Close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,638.3000,C,2021-08-22 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
2115,TWN_0540,DSBH_TWN_0540,Kaohsiung Xinxing Chungshan SF,2,22,Taiwan,APAC,Taiwan,Kaohsiung,BH,0540,371.1000,,,,,,,,2020-08-07 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,371.1000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
384,TWN_1016,DSBH_TWN_1016,Tainan City T.S. Mall DS,2,22,Taiwan,APAC,Taiwan,Tainan,BH,1016,164.3000,,,,,,,,2018-02-08 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,164.3000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
2219,TWN_1801,DSBH_TWN_1801,"Kaohsiung  Mall E Sky Land DS ",2,22,Taiwan,APAC,Taiwan,Kaohsiung,BH,1801,136.1000,,,,,,,,2020-03-20 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,136.1000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
